"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Probability of premature mortality from NCDs","","2019","","African Region","Total","","20.78935","13.2963","30.26785","",
"Probability of premature mortality from NCDs","","2019","","African Region","Males","","22.13162","14.24073","32.13338","",
"Probability of premature mortality from NCDs","","2019","","African Region","Females","","19.60895","12.46911","28.61079","",
"Probability of premature mortality from NCDs","","2019","","Eastern Mediterranean Region","Total","","24.53096","16.68678","33.99295","",
"Probability of premature mortality from NCDs","","2019","","Eastern Mediterranean Region","Males","","27.10405","18.63257","37.28476","",
"Probability of premature mortality from NCDs","","2019","","Eastern Mediterranean Region","Females","","21.80966","14.64945","30.4561","",
"Probability of premature mortality from NCDs","","2019","","European Region","Total","","16.31766","12.72202","20.43849","",
"Probability of premature mortality from NCDs","","2019","","European Region","Males","","21.73254","17.1193","26.89775","",
"Probability of premature mortality from NCDs","","2019","","European Region","Females","","11.3388","8.74103","14.39524","",
"Probability of premature mortality from NCDs","","2019","","Global","Total","","17.78306","13.27575","23.07514","",
"Probability of premature mortality from NCDs","","2019","","Global","Males","","21.42136","16.2101","27.46308","",
"Probability of premature mortality from NCDs","","2019","","Global","Females","","14.17079","10.39327","18.66072","",
"Probability of premature mortality from NCDs","","2019","","Region of the Americas","Total","","14.0427","11.65587","16.85455","",
"Probability of premature mortality from NCDs","","2019","","Region of the Americas","Males","","16.42605","13.82829","19.5248","",
"Probability of premature mortality from NCDs","","2019","","Region of the Americas","Females","","11.82226","9.63764","14.35793","",
"Probability of premature mortality from NCDs","","2019","","South-East Asian Region","Total","","21.61701","15.78293","28.16745","",
"Probability of premature mortality from NCDs","","2019","","South-East Asian Region","Males","","24.61782","18.20861","31.8142","",
"Probability of premature mortality from NCDs","","2019","","South-East Asian Region","Females","","18.50494","13.29057","24.33772","",
"Probability of premature mortality from NCDs","","2019","","Western Pacific Region","Total","","15.57676","11.90922","19.74588","",
"Probability of premature mortality from NCDs","","2019","","Western Pacific Region","Males","","19.9007","15.3117","25.00906","",
"Probability of premature mortality from NCDs","","2019","","Western Pacific Region","Females","","11.07257","8.41207","14.17757","",
"Probability of premature mortality from NCDs","","2019","Afghanistan","Eastern Mediterranean Region","Total","","35.27428","21.77959","49.79874","",
"Probability of premature mortality from NCDs","","2019","Afghanistan","Eastern Mediterranean Region","Males","","34.37412","21.87447","47.91983","",
"Probability of premature mortality from NCDs","","2019","Afghanistan","Eastern Mediterranean Region","Females","","36.16185","21.67719","51.61544","",
